timestamp,rr,sr,count,mrt,tc
1614441600,100,100,89,38,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614441600,100,100,118,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614441600,100,100,53,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614441660,100,100,104,13,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614441660,100,100,50,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614441660,100,100,88,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614441720,100,100,72,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614441720,100,100,54,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614441720,100,100,81,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614441780,100,100,71,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614441780,100,100,107,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614441780,100,100,94,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614441840,100,100,52,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614441840,100,100,80,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614441840,100,100,59,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614441900,100,100,67,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614441900,100,100,24,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614441900,100,100,49,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614441960,100,100,33,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614441960,100,100,36,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614441960,100,100,24,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614442020,100,100,52,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614442020,100,100,30,42,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614442020,100,100,15,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614442080,100,100,41,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614442080,100,100,13,11,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614442080,100,100,48,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614442140,100,100,25,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614442140,100,100,23,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
