timestamp,rr,sr,count,mrt,tc
1614528000,100,100,68,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528000,100,100,58,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528000,100,100,118,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528060,100,100,73,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528060,100,100,78,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528060,100,100,55,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528120,100,100,66,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528120,100,100,75,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528120,100,100,82,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528180,100,100,96,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528180,100,100,66,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528180,100,100,128,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528240,100,100,84,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528240,100,100,66,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528240,100,100,51,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528300,100,100,33,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528300,100,100,34,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528300,100,100,57,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528360,100,100,57,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528360,100,100,37,42,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528360,100,100,11,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528420,100,100,16,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528420,100,100,30,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528420,100,100,24,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528480,100,100,23,11,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528480,100,100,43,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528480,100,100,21,44,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528540,100,100,28,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528540,100,100,53,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528540,100,100,32,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528600,100,100,46,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528600,100,100,31,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528600,100,100,27,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528660,100,100,25,14,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528660,100,100,38,49,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528660,100,100,24,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528720,100,100,41,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528720,100,100,35,43,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528720,100,100,19,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528780,100,100,27,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528780,100,100,60,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528780,100,100,23,13,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528840,100,100,47,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528840,100,100,33,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528840,100,100,21,11,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528900,100,100,34,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528900,100,100,20,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614528900,100,100,42,42,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528960,100,100,30,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614528960,100,100,42,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614528960,100,100,18,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529020,100,100,25,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529020,100,100,27,42,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529020,100,100,38,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529080,100,100,22,11,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529080,100,100,19,42,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529080,100,100,28,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529140,100,100,11,13,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529140,100,100,26,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529140,100,100,40,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529200,100,100,14,45,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529200,100,100,23,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529200,100,100,35,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529260,100,100,31,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529260,100,100,20,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529260,100,100,39,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529320,100,100,25,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529320,100,100,31,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529320,100,100,34,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529380,100,100,25,57,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529380,100,100,41,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529380,100,100,22,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529440,100,100,25,38,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529440,100,100,49,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529440,100,100,23,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529500,100,100,30,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529500,100,100,29,39,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529500,100,100,27,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529560,100,100,27,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529560,100,100,40,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529560,100,100,24,14,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529620,100,100,30,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529620,100,100,27,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529620,100,100,23,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529680,100,100,20,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529680,100,100,29,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529680,100,100,39,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529740,100,100,56,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529740,100,100,15,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529740,100,100,36,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529800,100,100,27,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529800,100,100,24,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529800,100,100,34,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529860,100,100,51,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529860,100,100,27,14,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529860,100,100,22,43,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529920,100,100,41,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529920,100,100,23,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614529920,100,100,38,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529980,100,100,28,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614529980,100,100,42,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614529980,100,100,18,13,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530040,100,100,19,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530040,100,100,34,44,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614530040,100,100,26,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530100,100,100,23,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614530100,100,100,29,16,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530100,100,100,27,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530160,100,100,8,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530160,100,100,58,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530160,100,100,29,42,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614530220,100,100,23,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614530220,100,100,31,9,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530220,100,100,20,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530280,100,100,53,11,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530280,100,100,26,41,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614530280,100,100,24,12,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530340,100,100,16,11,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530340,100,100,39,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530340,100,100,43,40,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614530400,100,100,18,44,388b83e4b434a13b679b0bad237fb5fabe1a0c54
1614530400,100,100,33,14,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530400,100,100,36,9,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530460,100,100,25,14,f952e21004726cf7d2b2c5aa400a566e2b2a6aae
1614530460,100,100,45,10,aaa51527e6254b04dd1d25004e6da3e6db651e4e
1614530460,100,100,35,42,388b83e4b434a13b679b0bad237fb5fabe1a0c54
