timestamp,rr,sr,cnt,mrt,tc
1614787440,100.0,100.0,22,53.27,ServiceTest1
1614787440,100.0,100.0,24,85.33,ServiceTest2
1614787440,100.0,100.0,31,92.45,ServiceTest8
1614787440,100.0,100.0,51,96.67,ServiceTest5
1614787440,100.0,100.0,34,340.18,ServiceTest3
1614787440,100.0,100.0,16,60.94,ServiceTest6
1614787440,100.0,100.0,12,685.75,ServiceTest7
1614787440,100.0,100.0,34,60.53,ServiceTest10
1614787440,100.0,100.0,8,321.38,ServiceTest9
1614787440,100.0,100.0,28,62.5,ServiceTest11
1614787440,100.0,100.0,15,377.6,ServiceTest4
1614787500,100.0,100.0,17,287.35,ServiceTest3
1614787500,100.0,100.0,22,158.36,ServiceTest11
1614787500,100.0,100.0,11,61.91,ServiceTest1
1614787500,100.0,100.0,24,115.21,ServiceTest5
1614787500,100.0,100.0,10,330.6,ServiceTest2
1614787500,100.0,100.0,11,336.0,ServiceTest9
1614787500,100.0,100.0,24,172.0,ServiceTest6
1614787500,100.0,100.0,21,202.14,ServiceTest8
1614787500,100.0,100.0,19,585.47,ServiceTest7
1614787500,100.0,100.0,10,21.4,ServiceTest10
1614787500,100.0,100.0,18,534.0,ServiceTest4
1614787560,100.0,100.0,42,84.14,ServiceTest1
1614787560,100.0,100.0,45,336.11,ServiceTest6
1614787560,100.0,100.0,48,61.62,ServiceTest5
1614787560,100.0,100.0,38,476.37,ServiceTest9
1614787560,100.0,100.0,22,156.09,ServiceTest8
1614787560,100.0,100.0,45,498.07,ServiceTest3
1614787560,100.0,100.0,41,888.93,ServiceTest7
1614787560,100.0,100.0,9,243.67,ServiceTest10
1614787560,100.0,100.0,9,60.67,ServiceTest2
1614787560,100.0,100.0,42,773.5,ServiceTest4
1614787560,100.0,100.0,9,142.67,ServiceTest11
1614787620,100.0,100.0,47,158.09,ServiceTest8
1614787620,100.0,100.0,22,97.09,ServiceTest2
1614787620,100.0,100.0,45,113.58,ServiceTest6
1614787620,100.0,100.0,42,95.74,ServiceTest5
1614787620,100.0,100.0,26,877.92,ServiceTest7
1614787620,100.0,100.0,22,594.5,ServiceTest3
1614787620,100.0,100.0,40,231.8,ServiceTest1
1614787620,100.0,100.0,16,382.62,ServiceTest9
1614787620,100.0,100.0,15,41.67,ServiceTest10
1614787620,100.0,100.0,30,616.0,ServiceTest4
1614787620,100.0,100.0,19,239.11,ServiceTest11
1614787680,100.0,100.0,36,94.0,ServiceTest2
1614787680,100.0,100.0,31,422.52,ServiceTest3
1614787680,100.0,100.0,14,109.0,ServiceTest6
1614787680,100.0,100.0,27,726.78,ServiceTest7
1614787680,100.0,100.0,17,55.94,ServiceTest8
1614787680,100.0,100.0,22,81.55,ServiceTest5
