timestamp,rr,sr,cnt,mrt,tc
1614700980,100.0,50.0,6,30086.67,ServiceTest3
1614700920,100.0,0,1,60000,ServiceTest11
1614700980,100.0,100,1,21,ServiceTest10
1614700980,100.0,50.0,4,30592.5,ServiceTest7
1614700980,100.0,66,3,20014,ServiceTest1
1614700920,100.0,0,1,60001,ServiceTest3
1614700920,100.0,0,1,60000,ServiceTest4
1614700980,100.0,100,2,653,ServiceTest11
1614700980,100.0,100,1,123,ServiceTest4
1614700920,100.0,0,2,60000,ServiceTest1
1614701040,60.0,40.0,10,36043.8,ServiceTest10
1614700920,100.0,0,1,60000,ServiceTest10
1614700920,100.0,0,1,60000,ServiceTest7
1614701040,75.0,62.375000000000014,8,22759.5,ServiceTest4
1614701040,71.43,64.28571428571429,14,21477.15,ServiceTest11
1614701040,66.67,33.0,6,40065.5,ServiceTest1
1614701040,66.67,49.666666666666664,6,30044.33,ServiceTest2
1614701040,62.5,25.0,8,45005.62,ServiceTest3
1614700980,100.0,0,2,60000,ServiceTest8
1614701040,33.33,24.999999999999993,12,45091.17,ServiceTest5
1614701040,45.45,36.36363636363637,11,38203.09,ServiceTest8
1614700980,100.0,0.0,6,60000.0,ServiceTest5
1614700980,100.0,0,1,60000,ServiceTest6
1614700980,100.0,0.0,2,60000.5,ServiceTest2
1614701040,37.5,37.5,8,37553.37,ServiceTest6
1614700980,100.0,0,1,60001,ServiceTest9
1614701100,44.44,44.333333333333336,9,33407.33,ServiceTest9
1614701100,50.0,49.83333333333333,12,30140.25,ServiceTest11
1614701040,100.0,0,1,60001,ServiceTest9
1614701100,66.67,66.25,12,20084.0,ServiceTest6
1614701100,60.0,60.0,5,24477.6,ServiceTest2
1614701100,50.0,49.6,10,30133.8,ServiceTest7
1614701040,33.33,0.0,3,60000.33,ServiceTest7
1614701100,50.0,49.75000000000001,8,30186.25,ServiceTest4
1614701100,62.5,62.375,8,22660.25,ServiceTest3
1614701100,62.5,62.375000000000014,8,22555.38,ServiceTest5
1614701100,42.86,42.714285714285715,7,34307.86,ServiceTest1
1614701100,16.67,16.5,6,50015.0,ServiceTest8
1614701160,50.0,50.0,14,30030.28,ServiceTest3
1614701160,53.85,53.84615384615385,13,27887.69,ServiceTest4
1614701160,60.0,60.0,10,24182.9,ServiceTest8
1614701160,62.5,62.5,8,22551.75,ServiceTest1
1614701100,0.0,0.0,2,60000.0,ServiceTest10
1614701160,53.85,53.53846153846153,13,27792.92,ServiceTest7
1614701160,38.46,38.46153846153847,13,37092.3,ServiceTest5
